Temps: 1s | Batterie: 4.95J | Paquets en attente: 1
Temps: 2s | Batterie: 4.90J | Paquets en attente: 1
Temps: 3s | Batterie: 4.85J | Paquets en attente: 2
Temps: 4s | Batterie: 4.80J | Paquets en attente: 3
Temps: 5s | Batterie: 4.75J | Paquets en attente: 4
Temps: 6s | Batterie: 4.70J | Paquets en attente: 4
Temps: 7s | Batterie: 4.65J | Paquets en attente: 5
Temps: 8s | Batterie: 4.60J | Paquets en attente: 4
Temps: 9s | Batterie: 4.55J | Paquets en attente: 5
Temps: 10s | Batterie: 4.50J | Paquets en attente: 4
Temps: 11s | Batterie: 4.45J | Paquets en attente: 4
Temps: 12s | Batterie: 4.40J | Paquets en attente: 5
Temps: 13s | Batterie: 4.35J | Paquets en attente: 4
Temps: 14s | Batterie: 4.30J | Paquets en attente: 5
Temps: 15s | Batterie: 4.25J | Paquets en attente: 5
Temps: 16s | Batterie: 4.20J | Paquets en attente: 4
Temps: 17s | Batterie: 4.15J | Paquets en attente: 5
Temps: 18s | Batterie: 4.10J | Paquets en attente: 4
Temps: 19s | Batterie: 4.05J | Paquets en attente: 4
Temps: 20s | Batterie: 4.00J | Paquets en attente: 5
Temps: 21s | Batterie: 3.95J | Paquets en attente: 4
Temps: 22s | Batterie: 3.90J | Paquets en attente: 4
Temps: 23s | Batterie: 3.85J | Paquets en attente: 5
Temps: 24s | Batterie: 3.80J | Paquets en attente: 5
Temps: 25s | Batterie: 3.75J | Paquets en attente: 5
Temps: 26s | Batterie: 3.70J | Paquets en attente: 4
Temps: 27s | Batterie: 3.65J | Paquets en attente: 5
Temps: 28s | Batterie: 3.60J | Paquets en attente: 4
Temps: 29s | Batterie: 3.55J | Paquets en attente: 5
Temps: 30s | Batterie: 3.50J | Paquets en attente: 5
Temps: 31s | Batterie: 3.45J | Paquets en attente: 5
Temps: 32s | Batterie: 3.40J | Paquets en attente: 5
Temps: 33s | Batterie: 3.35J | Paquets en attente: 4
Temps: 34s | Batterie: 3.30J | Paquets en attente: 5
Temps: 35s | Batterie: 3.25J | Paquets en attente: 4
Temps: 36s | Batterie: 3.20J | Paquets en attente: 4
Temps: 37s | Batterie: 3.15J | Paquets en attente: 5
Temps: 38s | Batterie: 3.10J | Paquets en attente: 5
Temps: 39s | Batterie: 3.05J | Paquets en attente: 4
Temps: 40s | Batterie: 3.00J | Paquets en attente: 4
Temps: 41s | Batterie: 2.95J | Paquets en attente: 4
Temps: 42s | Batterie: 2.90J | Paquets en attente: 4
Temps: 43s | Batterie: 2.85J | Paquets en attente: 4
Temps: 44s | Batterie: 2.80J | Paquets en attente: 5
Temps: 45s | Batterie: 2.75J | Paquets en attente: 5
Temps: 46s | Batterie: 2.70J | Paquets en attente: 4
Temps: 47s | Batterie: 2.65J | Paquets en attente: 4
Temps: 48s | Batterie: 2.60J | Paquets en attente: 4
Temps: 49s | Batterie: 2.55J | Paquets en attente: 4
Temps: 50s | Batterie: 2.50J | Paquets en attente: 5
Temps: 51s | Batterie: 2.45J | Paquets en attente: 4
Temps: 52s | Batterie: 2.40J | Paquets en attente: 4
Temps: 53s | Batterie: 2.35J | Paquets en attente: 5
Temps: 54s | Batterie: 2.30J | Paquets en attente: 4
Temps: 55s | Batterie: 2.25J | Paquets en attente: 4
Temps: 56s | Batterie: 2.20J | Paquets en attente: 4
Temps: 57s | Batterie: 2.15J | Paquets en attente: 4
Temps: 58s | Batterie: 2.10J | Paquets en attente: 4
Temps: 59s | Batterie: 2.05J | Paquets en attente: 5
Temps: 60s | Batterie: 2.00J | Paquets en attente: 5
Temps: 61s | Batterie: 1.95J | Paquets en attente: 4
Temps: 62s | Batterie: 1.90J | Paquets en attente: 4
Temps: 63s | Batterie: 1.85J | Paquets en attente: 4
Temps: 64s | Batterie: 1.80J | Paquets en attente: 5
Temps: 65s | Batterie: 1.75J | Paquets en attente: 5
Temps: 66s | Batterie: 1.70J | Paquets en attente: 5
Temps: 67s | Batterie: 1.65J | Paquets en attente: 5
Temps: 68s | Batterie: 1.60J | Paquets en attente: 5
Temps: 69s | Batterie: 1.55J | Paquets en attente: 5
Temps: 70s | Batterie: 1.50J | Paquets en attente: 4
Temps: 71s | Batterie: 1.45J | Paquets en attente: 4
Temps: 72s | Batterie: 1.40J | Paquets en attente: 4
Temps: 73s | Batterie: 1.35J | Paquets en attente: 4
Temps: 74s | Batterie: 1.30J | Paquets en attente: 4
Temps: 75s | Batterie: 1.25J | Paquets en attente: 5
Temps: 76s | Batterie: 1.20J | Paquets en attente: 4
Temps: 77s | Batterie: 1.15J | Paquets en attente: 4
Temps: 78s | Batterie: 1.10J | Paquets en attente: 4
Temps: 79s | Batterie: 1.05J | Paquets en attente: 5
Temps: 80s | Batterie: 1.00J | Paquets en attente: 4
Temps: 81s | Batterie: 0.95J | Paquets en attente: 4
Temps: 82s | Batterie: 0.90J | Paquets en attente: 4
Temps: 83s | Batterie: 0.85J | Paquets en attente: 4
Temps: 84s | Batterie: 0.80J | Paquets en attente: 5
Temps: 85s | Batterie: 0.75J | Paquets en attente: 5
Temps: 86s | Batterie: 0.70J | Paquets en attente: 4
Temps: 87s | Batterie: 0.65J | Paquets en attente: 5
Temps: 88s | Batterie: 0.60J | Paquets en attente: 5
Temps: 89s | Batterie: 0.55J | Paquets en attente: 5
Temps: 90s | Batterie: 0.50J | Paquets en attente: 5
Temps: 91s | Batterie: 0.45J | Paquets en attente: 5
Temps: 92s | Batterie: 0.40J | Paquets en attente: 5
Temps: 93s | Batterie: 0.35J | Paquets en attente: 5
Temps: 94s | Batterie: 0.30J | Paquets en attente: 5
Temps: 95s | Batterie: 0.25J | Paquets en attente: 5
Temps: 96s | Batterie: 0.20J | Paquets en attente: 4
Temps: 97s | Batterie: 0.15J | Paquets en attente: 4
Temps: 98s | Batterie: 0.10J | Paquets en attente: 4
Temps: 99s | Batterie: 0.05J | Paquets en attente: 5
Temps: 100s | Batterie: 0.00J | Paquets en attente: 4
